               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11433,            0.028747,            0.087226,           0.0013265,             0.12788,           0.0037975,           0.0010615,            0.093316,            0.014268,             0.08179,              0.0784,              0.0024,              0.0024
                   1,            0.090133,            0.034032,            0.081236,             0.60686,             0.10194,            0.037909,           0.0084301,            0.076268,            0.012614,             0.06428,            0.055868,           0.0048677,           0.0048677
                   2,            0.080092,            0.033939,            0.076211,             0.80335,            0.018946,            0.030802,           0.0092298,            0.075468,            0.013051,            0.061396,            0.033302,           0.0073023,           0.0073023
                   3,             0.07601,            0.030696,            0.072401,             0.60018,            0.058608,            0.052523,            0.015855,            0.072008,            0.010618,            0.059831,            0.010704,            0.009704,            0.009704
                   4,            0.072254,            0.030309,            0.071361,             0.60269,              0.0924,            0.043025,            0.014223,            0.071268,           0.0089244,            0.057179,            0.009736,            0.009736,            0.009736
                   5,            0.067006,              0.0304,            0.068794,             0.63041,            0.085213,            0.078598,            0.021919,            0.057109,           0.0090522,            0.056061,            0.009736,            0.009736,            0.009736
                   6,            0.064105,            0.028828,            0.067016,             0.60594,              0.1076,            0.065129,            0.025121,            0.065942,           0.0082133,             0.05345,             0.00967,             0.00967,             0.00967
                   7,             0.06216,            0.028069,             0.06533,             0.76845,              0.0905,            0.099615,            0.030747,            0.065965,           0.0079018,             0.05275,            0.009604,            0.009604,            0.009604
                   8,            0.061143,            0.028176,            0.063778,             0.87721,            0.073371,             0.09793,             0.03585,            0.072566,           0.0082552,            0.051586,            0.009538,            0.009538,            0.009538
                   9,            0.058841,            0.030211,            0.062777,             0.80671,             0.11347,             0.12904,             0.04337,            0.063374,           0.0079191,            0.050123,            0.009472,            0.009472,            0.009472
                  10,            0.056582,            0.028234,             0.06112,             0.84293,             0.11952,             0.15076,            0.059161,            0.053266,           0.0079659,            0.048439,            0.009406,            0.009406,            0.009406
                  11,            0.055933,            0.028965,            0.059845,             0.69187,             0.10464,             0.11192,             0.04833,            0.055012,           0.0084744,            0.050257,             0.00934,             0.00934,             0.00934
                  12,            0.055627,            0.028534,            0.058336,             0.79291,             0.11216,             0.12827,            0.054062,            0.062796,           0.0080215,            0.045695,            0.009274,            0.009274,            0.009274
                  13,             0.05458,            0.028148,            0.057144,             0.86165,             0.12764,             0.15196,            0.050957,            0.049249,           0.0083857,            0.044191,            0.009208,            0.009208,            0.009208
                  14,             0.05153,            0.026782,            0.056376,             0.75589,             0.15477,             0.14414,             0.04705,            0.055103,           0.0089599,            0.047332,            0.009142,            0.009142,            0.009142
                  15,            0.053926,            0.027362,            0.055204,             0.71868,             0.17879,             0.12459,            0.053092,            0.048451,           0.0088918,            0.047175,            0.009076,            0.009076,            0.009076
                  16,            0.051078,            0.026883,            0.054437,             0.73022,             0.16937,             0.14287,            0.055608,            0.052436,           0.0087935,            0.045383,             0.00901,             0.00901,             0.00901
                  17,            0.050968,            0.026787,            0.054928,             0.66815,             0.16947,             0.13638,            0.054791,            0.048314,           0.0084184,             0.04967,            0.008944,            0.008944,            0.008944
                  18,            0.050164,            0.026153,            0.052043,             0.74157,            0.098129,             0.12496,            0.051603,             0.06496,           0.0089748,            0.048223,            0.008878,            0.008878,            0.008878
                  19,            0.050254,            0.026721,            0.050922,             0.85362,             0.11356,             0.13748,            0.053299,            0.060655,           0.0085558,            0.055932,            0.008812,            0.008812,            0.008812
                  20,            0.049133,            0.026091,            0.049827,             0.67183,             0.12055,             0.14334,            0.062596,            0.050468,           0.0089893,            0.050293,            0.008746,            0.008746,            0.008746
                  21,            0.047949,            0.026589,            0.048519,             0.74972,             0.12987,             0.13277,            0.045194,            0.054108,           0.0083414,            0.050852,             0.00868,             0.00868,             0.00868
                  22,            0.049383,            0.026795,            0.047805,             0.65136,             0.10959,             0.10858,            0.038649,            0.052853,           0.0084816,            0.048486,            0.008614,            0.008614,            0.008614
                  23,            0.049467,            0.025962,            0.048553,             0.66144,             0.18663,             0.11228,            0.038588,            0.055739,           0.0094676,            0.042814,            0.008548,            0.008548,            0.008548
                  24,            0.048064,            0.025033,            0.045692,             0.66716,             0.18831,             0.13317,            0.062298,            0.053657,           0.0084163,            0.039951,            0.008482,            0.008482,            0.008482
                  25,            0.047939,            0.025541,            0.046161,             0.74757,             0.16304,              0.1701,            0.061293,            0.048899,           0.0085151,            0.049861,            0.008416,            0.008416,            0.008416
                  26,            0.046908,            0.025492,            0.044591,             0.69022,             0.15732,             0.14731,            0.061994,            0.048111,           0.0085324,            0.058379,             0.00835,             0.00835,             0.00835
                  27,            0.047129,            0.023637,            0.044662,             0.84293,             0.12849,             0.17397,            0.077103,            0.050324,           0.0085171,            0.067921,            0.008284,            0.008284,            0.008284
                  28,             0.04514,            0.024255,            0.043044,              0.5705,             0.19254,             0.14971,            0.063359,            0.050996,           0.0083412,             0.04316,            0.008218,            0.008218,            0.008218
                  29,            0.044944,            0.025394,            0.042331,             0.73638,             0.11544,             0.20517,            0.078201,            0.058255,           0.0084115,            0.063436,            0.008152,            0.008152,            0.008152
